Year Day    Superior   Michigan   Huron    Erie    Ontario  St.Clr  
2007 139    3.34    6.30    5.47   10.26    6.44   12.84
2007 140    3.44    6.56    5.56   10.62    6.72   12.98
2007 141    3.62    6.96    5.74   11.15    6.99   13.13
2007 142    3.89    7.40    6.13   11.89    7.51   13.54
2007 143    3.97    7.59    6.64   13.20    8.32   14.47
2007 144    3.93    7.83    7.23   14.44    9.45   15.40
2007 145    3.78    7.99    7.31   14.68   10.07   15.79
2007 146    3.73    8.14    7.22   14.49   10.10   16.06
2007 147    3.91    8.43    7.25   14.36   10.00   16.30
2007 148    4.16    9.16    7.46   14.48   10.08   16.49
2007 149    4.41    9.96    8.02   15.09   10.64   16.87
2007 150    4.76   10.20    8.79   16.02   11.44   17.58
2007 151    5.00   10.45    9.21   16.75   12.13   18.14
2007 152    5.15   10.92    9.35   17.77   12.96   19.03
2007 153    5.13   11.19    9.59   18.76   14.03   19.73
2007 154    5.13   11.20    9.60   18.58   13.95   19.64
2007 155    5.06   11.04    9.41   17.74   12.85   19.07
2007 156    4.97   10.82    9.09   16.91   11.72   18.54
2007 157    5.08   10.91    9.00   16.35   10.93   18.27
2007 158    5.43   11.48    9.39   16.52   11.00   18.58
2007 159    5.35   11.58    9.67   16.73   11.45   19.00
2007 160    5.47   11.74    9.93   16.79   11.61   19.38
2007 161    5.98   12.43   10.63   17.34   12.12   19.86
2007 162    6.37   13.54   11.28   18.09   13.06   20.19
2007 163    6.76   14.82   11.86   18.75   13.98   20.28
2007 164    6.94   15.71   12.57   19.22   14.63   20.46
2007 165    7.31   16.43   13.20   19.45   14.79   20.89
2007 166    7.59   16.94   13.64   19.47   15.17   21.24
2007 167    7.60   17.27   13.90   19.83   15.75   21.56
2007 168    7.36   17.34   13.97   20.38   16.20   21.85
2007 169    7.11   16.96   14.14   20.71   16.58   21.86
2007 170    6.70   16.22   13.80   20.50   16.60   21.67
2007 171    6.37   15.90   13.31   20.10   16.23   21.40
2007 172    6.25   15.99   13.21   20.02   16.09   21.40
2007 173    6.42   16.29   13.32   19.98   16.04   21.36
2007 174    6.75   16.66   13.69   20.02   16.17   21.35
2007 175    7.09   17.07   14.29   20.30   16.78   21.53
2007 176    7.23   17.59   15.07   20.91   17.44   22.11
2007 177    7.33   18.10   15.62   21.50   18.17   22.65
2007 178    7.33   18.17   15.72   21.87   18.50   22.73
2007 179    7.23   17.68   15.43   21.62   18.23   22.11
2007 180    7.29   17.28   15.30   21.43   18.02   21.68
2007 181    7.43   17.27   15.30   21.40   17.88   21.48
2007 182    7.58   17.27   15.31   21.22   17.76   21.35
2007 183    7.86   17.34   15.45   21.08   17.64   21.34
2007 184    8.31   17.68   15.80   21.19   17.76   21.58
2007 185    8.80   18.02   16.26   21.29   18.03   21.74
2007 186    9.05   18.18   16.51   21.39   18.32   21.83
2007 187    9.28   18.31   16.65   21.64   18.51   22.08
2007 188    9.51   18.59   16.85   21.96   18.63   22.50
2007 189    9.82   18.79   16.97   22.19   18.85   22.79
2007 190   10.17   18.99   17.12   22.49   19.26   23.09
2007 191    9.77   18.89   17.21   22.70   19.60   23.26
2007 192    8.92   18.54   16.77   22.43   19.26   23.08
2007 193    8.55   18.35   16.47   22.13   18.83   22.76
2007 194    8.55   18.26   16.42   22.01   18.65   22.40
2007 195    8.82   18.24   16.36   21.86   18.41   21.95
2007 196    9.06   18.26   16.26   21.68   18.19   21.59
2007 197    9.80   18.60   16.59   21.74   18.46   21.66
2007 198   10.90   19.07   17.11   21.72   18.98   21.64
2007 199   11.55   19.14   17.32   21.67   19.53   21.59
2007 200   11.37   18.82   17.11   21.59   19.49   21.48
2007 201   11.28   18.64   16.89   21.50   19.26   21.36
2007 202   11.78   18.80   17.13   21.63   19.38   21.34
2007 203   12.77   19.20   17.73   21.86   19.78   21.51
2007 204   14.11   19.61   18.27   22.08   20.21   21.69
2007 205   15.38   20.06   18.75   22.29   20.55   22.03
2007 206   15.97   20.45   19.19   22.54   20.83   22.46
2007 207   16.05   20.71   19.44   22.70   21.23   22.78
2007 208   16.05   20.91   19.68   22.89   21.59   23.00
2007 209   16.42   21.10   20.03   23.02   21.93   23.20
2007 210   16.70   21.37   20.50   23.17   22.24   23.58
2007 211   16.95   21.81   21.01   23.45   22.81   24.04
2007 212   17.20   22.28   21.55   23.89   23.30   24.56
2007 213   16.97   22.59   21.82   24.46   23.76   24.95
2007 214   16.44   22.61   21.72   24.80   24.02   25.17
2007 215   16.12   22.54   21.38   24.81   23.83   25.33
2007 216   16.04   22.45   21.02   24.68   23.47   25.27
2007 217   16.08   22.39   20.84   24.56   23.22   25.04
2007 218   16.20   22.44   20.84   24.50   23.11   24.93
2007 219   16.48   22.60   20.96   24.54   22.96   25.12
2007 220   16.83   22.67   21.02   24.64   22.85   25.16
2007 221   17.02   22.70   21.08   24.62   22.87   24.88
2007 222   17.23   22.83   21.19   24.50   22.90   24.61
2007 223   17.30   22.96   21.17   24.51   22.97   24.56
2007 224   17.03   22.86   20.95   24.49   22.83   24.53
2007 225   16.82   22.69   20.71   24.29   22.51   24.34
2007 226   16.60   22.48   20.47   24.10   22.23   24.07
2007 227   16.31   22.24   20.28   24.00   22.01   23.79
2007 228   15.99   22.07   20.10   23.91   21.70   23.58
2007 229   15.50   21.88   19.64   23.59   21.19   23.30
2007 230   15.22   21.76   19.30   23.40   20.90   23.10
2007 231   15.11   21.67   19.07   23.34   20.76   23.12
2007 232   15.13   21.43   18.80   23.25   20.75   23.16
2007 233   15.16   21.14   18.62   22.94   20.49   23.00
2007 234   15.31   21.02   18.72   22.80   20.22   22.82
2007 235   15.48   20.95   18.82   23.06   20.43   22.88
2007 236   15.64   20.87   18.84   23.14   20.63   22.90
2007 237   15.79   20.81   18.88   22.93   20.57   22.83
2007 238   15.91   20.88   18.94   22.84   20.43   22.80
2007 239   16.08   20.96   19.08   23.05   20.51   22.93
2007 240   16.13   20.99   19.20   23.38   20.96   23.20
2007 241   16.13   20.92   19.18   23.66   21.49   23.47
2007 242   16.14   20.83   19.08   23.43   21.37   23.25
2007 243   16.15   20.86   19.08   23.00   21.05   22.81
2007 244   16.19   20.94   19.15   22.83   20.89   22.61
2007 245   16.23   20.99   19.20   22.81   20.76   22.57
2007 246   16.20   21.13   19.28   22.86   20.75   22.64
2007 247   16.29   21.38   19.29   23.09   20.82   22.82
2007 248   16.53   21.55   19.31   23.57   21.06   23.13
2007 249   16.59   21.47   19.24   23.87   21.40   23.24
2007 250   16.18   21.13   18.98   23.85   21.58   23.13
2007 251   15.75   20.89   18.72   23.51   21.32   22.84
2007 252   15.49   20.76   18.63   23.07   20.91   22.40
2007 253   15.14   20.47   18.47   22.58   20.46   21.88
2007 254   14.58   20.00   18.09   22.04   19.91   21.13
2007 255   13.62   19.49   17.72   21.68   19.36   20.48
2007 256   12.90   19.12   17.52   21.53   19.18   20.08
2007 257   12.42   18.73   17.30   21.42   19.14   19.79
2007 258   12.13   18.21   16.93   21.13   18.96   19.34
2007 259   12.05   17.89   16.62   20.75   18.67   18.84
2007 260   12.10   17.77   16.51   20.59   18.56   18.55
2007 261   12.06   17.77   16.60   20.62   18.63   18.76
2007 262   12.01   17.74   16.70   20.72   18.78   19.35
2007 263   11.92   17.70   16.67   20.69   18.88   19.64
2007 264   11.90   17.66   16.68   20.62   18.92   19.88
2007 265   11.94   17.61   16.68   20.65   18.88   20.18
2007 266   12.25   17.66   16.76   20.70   18.86   20.41
2007 267   12.62   17.72   16.87   20.79   18.89   20.65
2007 268   12.50   17.53   16.87   20.86   18.94   20.71
2007 269   12.06   17.25   16.66   20.75   18.87   20.44
2007 270   11.87   17.10   16.50   20.61   18.70   20.16
2007 271   11.83   17.04   16.44   20.50   18.55   19.89
2007 272   11.87   17.04   16.40   20.44   18.49   19.65
2007 273   11.81   17.04   16.47   20.45   18.47   19.69
2007 274   11.67   17.00   16.57   20.44   18.39   19.79
2007 275   11.73   16.91   16.61   20.45   18.37   19.81
2007 276   11.84   16.83   16.60   20.36   18.32   19.69
2007 277   11.88   16.90   16.72   20.48   18.46   19.84
2007 278   11.89   17.19   17.01   20.92   19.02   20.46
2007 279   12.02   17.56   17.28   21.23   19.13   20.89
2007 280   12.24   17.75   17.63   21.57   18.91   21.45
2007 281   11.76   17.60   17.79   21.74   18.74   21.74
2007 282   11.19   17.18   17.59   21.48   18.46   21.44
2007 283   10.88   16.92   17.25   21.05   18.17   20.88
2007 284   10.55   16.50   16.69   20.64   17.83   20.00
2007 285   10.31   15.94   16.09   19.98   17.37   18.84
2007 286   10.19   15.55   15.55   19.21   16.87   17.77
2007 287   10.17   15.39   15.10   18.76   16.30   17.28
2007 288   10.16   15.26   14.81   18.65   15.99   17.27
2007 289   10.14   15.04   14.58   18.35   15.71   16.92
2007 290   10.10   14.82   14.41   18.02   15.64   16.50
2007 291    9.98   14.70   14.29   17.82   15.54   16.16
2007 292    9.87   14.55   14.23   17.64   15.41   15.93
2007 293    9.81   14.44   14.20   17.56   15.29   15.83
2007 294    9.81   14.41   14.19   17.53   15.29   15.77
2007 295    9.81   14.32   14.14   17.51   15.36   15.73
2007 296    9.80   14.18   14.00   17.27   15.22   15.33
2007 297    9.67   13.90   13.76   16.77   14.94   14.61
2007 298    9.61   13.70   13.61   16.45   14.77   14.10
2007 299    9.57   13.57   13.49   16.22   14.59   13.81
2007 300    9.42   13.35   13.19   15.88   14.16   13.36
2007 301    9.23   13.16   12.88   15.67   13.78   13.03
2007 302    9.12   13.00   12.60   15.35   13.44   12.64
2007 303    9.05   12.84   12.36   15.17   13.22   12.35
2007 304    8.85   12.58   12.08   15.01   13.03   12.04
2007 305    8.59   12.25   11.76   14.74   12.70   11.82
2007 306    8.43   12.00   11.59   14.52   12.47   11.63
2007 307    8.34   11.80   11.44   14.35   12.27   11.48
2007 308    8.29   11.77   11.32   14.21   12.06   11.37
2007 309    8.24   11.73   11.18   14.05   11.85   11.14
2007 310    8.16   11.64   11.14   13.98   11.64   10.86
2007 311    8.01   11.41   11.00   13.83   11.37   10.78
2007 312    7.81   11.08   10.72   13.55   11.12   10.57
2007 313    7.63   10.57   10.36   13.05   10.73   10.01
2007 314    7.49   10.26   10.06   12.54   10.35    9.43
2007 315    7.40   10.13    9.89   12.23   10.23    8.97
2007 316    7.34    9.99    9.74   12.05   10.23    8.96
2007 317    7.25    9.90    9.65   11.91   10.12    8.91
2007 318    7.13    9.72    9.43   11.81    9.97    8.79
2007 319    7.01    9.59    9.28   11.64    9.76    8.41
2007 320    6.93    9.41    9.13   11.37    9.50    7.73
2007 321    6.91    9.19    8.96   11.01    9.25    6.99
2007 322    6.89    8.95    8.81   10.56    9.12    6.39
2007 323    6.82    8.75    8.72   10.15    9.03    5.90
2007 324    6.69    8.52    8.64    9.67    9.00    5.42
2007 325    6.53    8.35    8.49    9.39    8.88    5.27
2007 326    6.38    8.24    8.27    9.35    8.61    5.37
2007 327    6.22    8.07    8.04    9.31    8.33    5.40
2007 328    6.16    8.03    7.92    9.01    8.08    5.21
2007 329    6.13    7.92    7.78    8.83    8.05    4.96
2007 330    6.06    7.81    7.70    8.64    7.91    4.78
2007 331    5.98    7.69    7.58    8.34    7.65    4.45
2007 332    5.93    7.47    7.38    8.06    7.32    4.22
2007 333    5.78    7.13    6.95    7.79    6.92    4.10
2007 334    5.56    6.62    6.73    7.55    6.62    4.01
2007 335    5.13    6.44    6.33    7.39    6.40    4.15
2007 336    5.00    6.35    6.16    7.25    6.31    4.17
2007 337    4.85    6.14    5.89    6.92    6.07    3.58
2007 338    4.77    5.95    5.64    6.51    5.87    3.26
2007 339    4.70    5.72    5.40    6.17    5.68    2.97
2007 340    4.52    5.59    5.19    5.89    5.46    2.65
2007 341    4.35    5.48    5.13    5.77    5.47    2.64
2007 342    4.27    5.38    5.01    5.58    5.45    2.56
2007 343    3.50    4.78    3.46    4.25    5.02    0.21
2007 344    3.47    4.70    3.42    4.12    5.01    0.21
2007 345    3.60    4.67    3.62    3.71    4.73    0.20
2007 346    3.58    4.64    3.58    3.63    4.65    0.20
2007 347    3.49    4.61    3.17    3.50    4.66    0.20
2007 348    3.46    4.58    3.14    3.40    4.60    0.20
2007 349    3.39    4.54    3.11    3.27    4.53    0.20
2007 350    3.37    4.43    3.09    3.09    4.44    0.20
2007 351    3.36    4.35    3.05    2.98    4.36    0.20
2007 352    3.02    3.83    2.56    1.93    4.20    0.20
2007 353    3.02    3.81    2.56    1.91    4.16    0.20
2007 354    3.32    4.15    3.05    2.87    4.16    0.20
2007 355    3.31    4.10    3.03    2.87    4.13    0.20
2007 356    3.31    4.06    3.03    2.80    4.09    0.20
2007 357    3.30    4.01    2.99    2.71    4.00    0.20
2007 358    3.30    4.00    2.98    2.62    3.90    0.20
2007 359    3.11    3.74    2.51    2.30    3.82    0.20
2007 360    3.06    3.75    2.50    2.28    3.74    0.20
2007 361    3.11    3.70    2.59    2.35    3.47    0.20
2007 362    3.01    3.68    2.55    2.30    3.39    0.20
2007 363    2.96    3.64    2.51    2.27    3.35    0.20
2007 364    2.93    3.59    2.48    2.22    3.30    0.20
2007 365    2.77    3.54    2.48    2.09    3.32    0.20
2008 001    2.75    3.47    2.44    1.99    3.25    0.20
2008 002    2.74    3.41    2.42    1.92    3.20    0.20
2008 003    2.58    3.26    1.97    1.64    3.20    0.20
2008 004    2.57    3.25    1.96    1.65    3.21    0.20
2008 005    2.57    3.24    1.93    1.68    3.24    0.20
2008 006    2.57    3.19    1.93    1.69    3.24    0.20
2008 007    2.57    3.15    1.92    1.74    3.27    0.20
2008 008    2.56    3.11    1.92    1.78    3.31    0.20
2008 009    2.57    3.09    1.92    1.81    3.35    0.20
2008 010    2.58    3.10    1.91    1.78    3.33    0.20
2008 011    2.59    3.33    2.13    2.26    3.35    0.20
2008 012    2.58    3.33    2.11    2.22    3.30    0.20
2008 013    2.58    3.32    2.09    2.18    3.28    0.20
2008 014    2.80    3.32    2.32    2.17    3.25    0.20
2008 015    2.71    3.15    2.20    2.18    3.23    0.20
2008 016    2.65    3.12    2.12    2.17    3.22    0.20
2008 017    2.58    3.06    2.07    2.14    3.20    0.20
2008 018    2.44    3.02    2.00    2.04    3.09    0.20
2008 019    2.39    2.94    1.95    1.96    3.05    0.20
2008 020    2.31    2.82    1.81    1.78    2.98    0.20
2008 021    2.02    2.33    1.47    0.72    2.74    0.20
2008 022    1.96    2.26    1.46    0.67    2.69    0.20
2008 023    1.85    2.22    1.45    0.54    2.66    0.20
2008 024    1.73    2.16    1.23    0.44    2.78    0.20
2008 025    1.70    2.15    1.22    0.41    2.79    0.20
2008 026    1.67    2.17    1.23    0.40    2.76    0.20
2008 027    1.66    2.18    1.23    0.36    2.65    0.20
2008 028    1.41    1.51    1.07    0.20    1.88    0.20
2008 029    1.38    1.48    1.07    0.20    1.84    0.20
2008 030    1.36    1.42    1.07    0.20    1.81    0.20
2008 031    1.31    1.39    1.00    0.20    1.90    0.20
2008 032    1.31    1.41    1.00    0.20    1.91    0.20
2008 033    1.31    1.42    0.99    0.20    1.90    0.20
2008 034    1.29    1.43    0.98    0.20    1.90    0.20
2008 035    1.18    1.28    0.94    0.20    2.14    0.20
2008 036    1.16    1.26    0.92    0.20    2.10    0.20
2008 037    1.15    1.25    0.91    0.20    2.08    0.20
2008 038    1.14    1.12    0.79    0.20    1.94    0.20
2008 039    1.13    1.05    0.77    0.20    1.92    0.20
2008 040    1.13    1.04    0.73    0.20    1.92    0.20
2008 041    1.12    1.03    0.70    0.20    1.92    0.20
2008 042    1.23    1.06    0.61    0.20    1.70    0.20
2008 043    1.17    1.06    0.61    0.20    1.69    0.20
2008 044    1.14    1.03    0.59    0.20    1.69    0.20
2008 045    0.95    1.02    0.62    0.20    1.70    0.20
2008 046    0.93    1.00    0.61    0.20    1.66    0.20
2008 047    0.91    0.99    0.60    0.20    1.63    0.20
2008 048    0.87    0.99    0.60    0.20    1.60    0.20
2008 049    0.83    0.87    0.50    0.20    1.07    0.20
2008 050    0.82    0.86    0.50    0.20    1.06    0.20
2008 051    0.82    0.85    0.49    0.20    1.04    0.20
2008 052    0.72    0.84    0.44    0.20    1.08    0.20
2008 053    0.73    0.86    0.44    0.20    1.08    0.20
2008 054    0.73    0.86    0.44    0.20    1.09    0.20
2008 055    0.72    0.85    0.44    0.20    1.10    0.20
2008 056    0.59    0.87    0.40    0.20    1.28    0.20
2008 057    0.58    0.86    0.40    0.20    1.27    0.20
2008 058    0.58    0.84    0.39    0.20    1.25    0.20
2008 059    0.58    0.85    0.45    0.20    0.89    0.20
2008 060    0.54    0.85    0.43    0.20    0.89    0.20
2008 061    0.52    0.86    0.42    0.20    0.87    0.20
2008 062    0.50    0.85    0.42    0.20    0.86    0.20
2008 063    0.49    0.83    0.41    0.20    0.88    0.20
2008 064    0.44    1.00    0.43    0.20    1.46    0.20
2008 065    0.42    0.99    0.43    0.20    1.45    0.20
2008 066    0.41    0.88    0.42    0.20    1.33    0.20
2008 067    0.41    0.87    0.41    0.20    1.28    0.20
2008 068    0.41    0.87    0.40    0.20    1.23    0.20
2008 069    0.39    0.86    0.39    0.20    1.18    0.20
2008 070    0.40    0.88    0.40    0.20    1.17    0.20
2008 071    0.32    0.93    0.47    0.20    1.12    0.20
2008 072    0.33    0.95    0.48    0.20    1.18    0.20
2008 073    0.35    0.83    0.41    0.20    1.07    0.20
2008 074    0.36    0.83    0.41    0.20    1.07    0.20
2008 075    0.37    0.83    0.41    0.20    1.09    0.20
2008 076    0.37    0.84    0.40    0.20    1.08    0.20
2008 077    0.37    0.85    0.39    0.20    1.05    0.20
2008 078    0.38    1.08    0.39    0.20    1.13    0.20
2008 079    0.43    1.04    0.41    0.20    1.23    0.20
2008 080    0.49    1.11    0.47    0.20    1.28    0.20
2008 081    0.46    1.11    0.47    0.20    1.28    0.20
2008 082    0.45    1.09    0.47    0.20    1.26    0.20
2008 083    0.46    1.06    0.47    0.20    1.24    0.20
2008 084    0.45    1.04    0.47    0.20    1.26    0.20
2008 085    0.45    1.14    0.54    0.20    1.36    0.20
2008 086    0.48    1.17    0.50    0.20    1.44    0.20
2008 087    0.53    1.29    0.52    0.20    1.46    0.20
2008 088    0.56    1.34    0.55    0.20    1.43    0.20
2008 089    0.57    1.33    0.57    0.20    1.43    0.20
2008 090    0.56    1.33    0.58    0.20    1.50    0.20
2008 091    0.55    1.36    0.58    0.20    1.62    0.20
2008 092    0.60    1.39    0.67    0.20    1.74    0.20
2008 093    0.65    1.38    0.73    0.20    1.79    0.20
2008 094    0.64    1.41    0.74    0.20    1.70    0.20
2008 095    0.65    1.47    0.76    0.20    1.78    0.20
2008 096    0.66    1.53    0.79    0.20    1.88    0.20
2008 097    0.67    1.57    0.82    0.20    1.93    0.20
2008 098    0.70    1.59    0.86    0.20    1.95    0.20
2008 099    0.91    2.15    0.96    1.54    2.71    5.57
2008 100    0.93    2.20    0.98    1.93    2.68    6.06
2008 101    0.92    2.25    0.98    2.61    2.67    6.44
2008 102    0.96    2.34    1.02    2.78    2.76    6.84
2008 103    0.99    2.34    1.04    2.91    2.87    7.21
2008 104    1.03    2.29    1.05    3.01    2.90    7.36
2008 105    1.09    2.28    1.05    3.06    2.92    7.39
2008 106    1.38    2.37    1.32    3.68    3.06    7.50
2008 107    1.14    2.58    1.50    4.00    3.30    7.78
2008 108    1.17    2.76    1.90    4.64    3.56    8.36
2008 109    1.23    2.88    2.15    5.37    3.92    9.24
2008 110    1.33    3.12    2.20    5.67    4.13    9.95
2008 111    1.41    3.31    2.27    5.91    4.18   10.69
2008 112    1.52    3.44    2.30    6.18    4.17   11.21
2008 113    1.69    3.46    3.13    6.57    4.37   11.39
2008 114    1.48    3.35    2.94    6.68    4.33   11.38
2008 115    2.14    3.86    3.10    6.72    4.25   11.33
